"Discharge of wastewater (Physical water accounts) by discharge,"
"industry and time"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V17000 17000 Manufacture of paper and paper products",2045,1574,0,649,648,544,1803,1227,1277,1369,1109,645,769,769,764
" ","V170000 170000 Manufacture of paper and paper products",2045,1574,0,649,648,544,1803,1227,1277,1369,1109,645,769,769,764
" ","V18000 18000 Printing etc.",142,172,103,110,87,126,145,84,104,82,64,72,351,174,173
" ","V180000 180000 Printing etc.",142,172,103,110,87,126,145,84,104,82,64,72,351,174,173
" ","VCD CD Oil refinery etc.",895,1769,2094,2700,2620,2213,2481,3893,2823,1712,2615,2796,3210,2757,2802
" ","V19000 19000 Oil refinery etc.",895,1769,2094,2700,2620,2213,2481,3893,2823,1712,2615,2796,3210,2757,2802
" ","V190000 190000 Oil refinery etc.",895,1769,2094,2700,2620,2213,2481,3893,2823,1712,2615,2796,3210,2757,2802
" ","VCE CE Manufacture of chemicals",2527,1781,1896,2007,3411,2805,2891,2429,2091,2501,2662,2366,2775,2585,2579
" ","V20000 20000 Manufacture of chemicals",2527,1781,1896,2007,3411,2805,2891,2429,2091,2501,2662,2366,2775,2585,2579
" ","V200010 200010 Manufacture of basic chemicals",1994,1657,1896,2007,1838,2450,2891,2429,2036,2501,2645,2366,2775,2585,2539
" ","V200020 200020 Manufacture of paints and soap etc.",534,124,0,0,1573,355,0,0,55,0,17,0,0,0,40
" ","VCF CF Pharmaceuticals",3086,2758,2941,3185,3214,1246,3894,3481,3647,3773,3984,3839,4425,4138,4132
" ","V21000 21000 Pharmaceuticals",3086,2758,2941,3185,3214,1246,3894,3481,3647,3773,3984,3839,4425,4138,4132
" ","V210000 210000 Pharmaceuticals",3086,2758,2941,3185,3214,1246,3894,3481,3647,3773,3984,3839,4425,4138,4132
" ","VCG CG Manufacture of plastic, glass and concrete",3788,4543,4979,4765,4748,5208,5220,4789,5909,5831,5776,4726,4644,4180,4234
" ","V22000 22000 Manufacture of rubber and plastic products",778,1097,1361,1191,1250,1298,1265,1156,1360,975,1354,698,766,559,636
" ","V220000 220000 Manufacture of rubber and plastic products",778,1097,1361,1191,1250,1298,1265,1156,1360,975,1354,698,766,559,636
" ","V23000 23000 Manufacture of other non-metallic mineral products",3010,3446,3618,3574,3497,3910,3956,3633,4549,4856,4422,4028,3878,3621,3597
" ","V230010 230010 Manufacture of glass and ceramic products",91,225,0,61,222,52,90,19,127,135,156,111,106,44,40
" ","V230020 230020 Manufacture of concrete and bricks",2920,3220,3618,3514,3275,3858,3866,3614,4422,4721,4266,3916,3772,3577,3558
" ","VCH CH Basic metals and fabricated metal products",1296,1260,1367,1262,1687,1577,1962,2259,2268,1875,1840,1804,1256,1368,1767
" ","V24000 24000 Manufacture of basic metals",521,621,569,600,967,847,1096,1377,1425,1032,1047,1142,479,582,465
" ","V240000 240000 Manufacture of basic metals",521,621,569,600,967,847,1096,1377,1425,1032,1047,1142,479,582,465
" ","V25000 25000 Manufacture of fabricated metal products",775,639,798,662,721,730,866,882,844,844,793,661,777,786,1302
" ","V250000 250000 Manufacture of fabricated metal products",775,639,798,662,721,730,866,882,844,844,793,661,777,786,1302
" ","VCI CI Manufacture of electronic components",151,245,207,189,196,176,205,127,143,134,145,91,128,91,91
" ","V26000 26000 Manufacture of electronic components",151,245,207,189,196,176,205,127,143,134,145,91,128,91,91
" ","V260010 260010 Manufacture of computers and communication equipment etc.",102,153,145,94,85,87,94,60,55,43,67,35,44,36,36
" ","V260020 260020 Manufacture of other electronic products",49,92,61,95,112,89,111,67,88,91,78,56,85,54,55
" ","VCJ CJ Electrical equipment",102,96,88,112,127,100,126,133,91,107,110,96,74,86,74
" ","V27000 27000 Electrical equipment",102,96,88,112,127,100,126,133,91,107,110,96,74,86,74
" ","V270010 270010 Manufacture of electric motors, etc.",28,32,30,25,43,39,45,74,41,31,46,49,28,34,22
" ","V270020 270020 Manufacture of wires and cables",30,32,30,29,37,39,42,36,33,19,32,19,22,29,29
" ","V270030 270030 Manufacture of household appliances, lamps, etc.",43,32,28,57,48,23,39,23,17,57,32,28,24,23,23
" ","VCK CK Manufacture of machinery",989,1298,1397,1037,1504,1439,1218,1263,1071,917,1358,996,945,991,615
" ","V28000 28000 Manufacture of machinery",989,1298,1397,1037,1504,1439,1218,1263,1071,917,1358,996,945,991,615
" ","V280010 280010 Manufacture of engines, windmills and pumps",638,955,1021,659,1066,962,774,909,685,611,996,713,587,607,231
" ","V280020 280020 Manufacture of other machinery",350,342,377,378,438,478,444,354,386,305,362,283,359,384,383
" ","VCL CL Transport equipment",162,153,87,126,103,102,141,124,124,119,103,89,72,50,46
" ","V29000 29000 Manufacture of motor vehicles and related parts",58,70,58,90,66,68,100,81,72,78,59,46,10,4,0
" ","V290000 290000 Manufacture of motor vehicles and related parts",58,70,58,90,66,68,100,81,72,78,59,46,10,4,0
" ","V30000 30000 Manufacture of ships and other transport equipment",104,83,29,35,37,34,42,43,52,41,44,43,62,46,46
" ","V300000 300000 Manufacture of ships and other transport equipment",104,83,29,35,37,34,42,43,52,41,44,43,62,46,46
" ","VCM CM Manufacture of furniture and other manufacturing etc.",252,242,250,250,248,260,467,433,467,425,392,314,323,283,349
" ","V31320 31320 Manufacture of furniture and other manufacturing",85,61,89,67,81,96,265,253,278,238,203,173,183,102,168
" ","V310000 310000 Manufacture of furniture",0,0,0,0,0,0,130,113,160,88,84,67,75,0,68
" ","V320010 320010 Manufacture of medical instruments, etc.",12,12,22,19,32,22,21,36,14,49,35,21,17,29,29
" ","V320020 320020 Manufacture of toys and other manufacturing",73,48,67,49,49,73,114,104,105,101,84,85,91,73,72
" ","V33000 33000 Repair and installation of machinery and equipment",167,181,161,182,167,165,203,180,188,186,189,141,140,182,181
" ","V330000 330000 Repair and installation of machinery and equipment",167,181,161,182,167,165,203,180,188,186,189,141,140,182,181
" ","VD_E D_E Utility services",2871,6210,5587,3917,4213,4660,8299,6337,6464,6456,6720,5852,5756,3994,5239
" ","VD D Electricity, gas, steam and air conditioning supply",1740,2273,1934,1670,2478,1981,2548,2259,2420,2593,2633,2541,2555,2145,2307
" ","V35000 35000 Electricity, gas, steam and air conditioning supply",1740,2273,1934,1670,2478,1981,2548,2259,2420,2593,2633,2541,2555,2145,2307
" ","V350010 350010 Production and distribution of electricity",0,0,447,0,496,0,337,409,547,537,426,489,465,221,300
" ","V350020 350020 Manufacture and distribution of gas",1345,1958,1175,1231,1325,1369,1702,1320,1071,1142,1273,1238,1347,1482,1394
" ","V350030 350030 Steam and hot water supply",395,315,311,440,657,612,510,530,802,914,933,814,743,443,613
" ","VE E Water supply, sewerage and waste management",1130,3937,3653,2246,1735,2679,5751,4078,4044,3863,4087,3311,3201,1850,2932
" ","V36000 36000 Water collection, purification and supply",192,189,172,163,159,149,148,139,161,142,148,144,140,141,145
" ","V360000 360000 Water collection, purification and supply",192,189,172,163,159,149,148,139,161,142,148,144,140,141,145
" ","V37390 37390 Sewerage; waste collection, treatment and disposal activities etc.",939,3749,3482,2083,1576,2529,5604,3940,3883,3722,3939,3167,3061,1708,2787
" ","V370000 370000 Sewerage",836,1096,822,804,820,607,1209,1262,1412,1239,1405,1012,1103,362,581
" ","V383900 383900 Waste management and materials recovery",103,2653,2660,1279,756,1922,4395,2677,2471,2482,2534,2155,1958,1346,2207
" ","VF F Construction",355,455,521,614,942,771,761,653,524,528,559,500,466,590,587
" ","V41430 41430 Construction",355,455,521,614,942,771,761,653,524,528,559,500,466,590,587
" ","V410009 410009 Construction of new buildings",0,129,150,174,268,227,237,212,175,185,219,187,169,200,191
" ","V420000 420000 Civil engeneering",97,92,106,124,176,148,146,124,104,98,94,86,86,113,118
" ","V430003 430003 Professionel repair and maintenance of buildings",258,234,265,316,499,396,378,317,245,245,246,226,211,276,277
" ","V430004 430004 Own-account repair and maintenance of buildings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VG_I G_I Trade and transport etc.",13739,12406,12585,10733,10953,12184,13191,11095,11803,11459,11723,9581,10675,11595,11437
" ","VG G Wholesale and retail trade",7924,5975,5669,4842,5058,5709,6264,5202,5876,5701,6726,5560,5789,6102,6000
" ","V45000 45000 Wholesale and retail trade and repair of motor vehicles and motorcycles",877,718,761,707,750,806,890,759,736,766,794,774,812,821,816
" ","V450010 450010 Sale of motor vehicles",477,390,400,389,408,469,486,411,401,387,397,355,373,387,385
" ","V450020 450020 Repair and maintenance of motor vehicles etc.",400,328,361,318,342,337,403,348,335,379,397,419,439,434,431
" ","V46000 46000 Wholesale",4169,2834,2631,2256,2330,2631,2649,2425,2633,2902,4041,3314,3345,3448,3362
" ","V460000 460000 Wholesale",4169,2834,2631,2256,2330,2631,2649,2425,2633,2902,4041,3314,3345,3448,3362
" ","V47000 47000 Retail sale",2878,2424,2278,1878,1977,2272,2726,2019,2508,2033,1891,1472,1631,1833,1822
" ","V470000 470000 Retail sale",2878,2424,2278,1878,1977,2272,2726,2019,2508,2033,1891,1472,1631,1833,1822
" ","VH H Transportation",1062,1472,1264,1120,1066,930,921,879,760,585,459,434,418,419,416
" ","V49000 49000 Land transport and transport via pipelines",818,1322,1087,943,862,736,713,659,593,444,277,352,341,267,265
" ","V490010 490010 Passenger rail transport, interurban",153,241,190,159,137,102,93,88,68,44,3,28,17,9,9
" ","V490020 490020 Transport by suburban trains, buses and taxi operation, etc.",489,908,750,608,540,405,377,363,285,190,13,104,69,37,36
" ","V490030 490030 Freight transport by road and via pipeline",176,172,146,176,185,229,243,208,240,210,261,220,254,221,219
" ","V50000 50000 Water transport",169,111,101,109,109,103,149,154,115,100,123,49,42,81,80
" ","V500000 500000 Water transport",169,111,101,109,109,103,149,154,115,100,123,49,42,81,80
" ","V51000 51000 Air transport",7,9,12,12,11,8,7,14,10,8,4,5,1,15,14
" ","V510000 510000 Air transport",7,9,12,12,11,8,7,14,10,8,4,5,1,15,14
" ","V52000 52000 Support activities for transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V520000 520000 Support activities for transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V53000 53000 Postal and courier activities",67,30,65,56,84,84,52,52,42,33,55,28,34,57,56
" ","V530000 530000 Postal and courier activities",67,30,65,56,84,84,52,52,42,33,55,28,34,57,56
" ","VI I Accommodation and food service activities",4753,4959,5652,4771,4829,5545,6006,5013,5166,5173,4537,3586,4468,5075,5022
" ","V55560 55560 Accommodation and food service activities",4753,4959,5652,4771,4829,5545,6006,5013,5166,5173,4537,3586,4468,5075,5022
" ","V550000 550000 Hotels and similar accommodation",3347,3657,4350,3412,3429,4041,4220,3624,3706,3817,3242,2539,3373,3913,3867
" ","V560000 560000 Restaurants",1407,1301,1302,1359,1400,1504,1786,1389,1460,1356,1295,1048,1095,1161,1154
" ","VJ J Information and communication",394,469,307,242,259,295,353,248,248,186,214,145,377,221,220
" ","VJA JA Publishing, television and radio broadcasting",161,211,142,112,161,133,143,111,117,93,79,58,62,64,64
" ","V58000 58000 Publishing activities",88,158,68,62,55,57,62,38,57,38,34,25,32,30,30
" ","V580010 580010 Publishing",87,152,67,57,53,55,59,36,56,37,33,25,31,30,30
" ","V580020 580020 Publishing of computer games and other software",1,5,1,5,2,1,3,2,2,1,0,0,1,0,0
" ","V59600 59600 Motion picture and television programme prod., sound recording; radio and televisi",73,53,75,50,106,77,82,73,60,55,46,33,30,34,33
" ","V590000 590000 Motion picture and television programme production, and sound recording activities",15,17,28,12,48,30,23,17,18,10,11,8,18,21,21
" ","V600000 600000 Radio and television broadcasting",58,36,47,38,58,46,59,56,41,45,35,25,12,12,12
" ","VJB JB Telecommunications",122,125,96,62,48,99,138,99,86,60,98,75,297,142,142
" ","V61000 61000 Telecommunications",122,125,96,62,48,99,138,99,86,60,98,75,297,142,142
" ","V610000 610000 Telecommunications",122,125,96,62,48,99,138,99,86,60,98,75,297,142,142
" ","VJC JC IT and information service activities",111,133,68,67,49,63,72,38,45,33,37,12,18,15,15
" ","V62630 62630 IT and information service activities",111,133,68,67,49,63,72,38,45,33,37,12,18,15,15
" ","V620000 620000 Computer programming, consultancy and related activities",96,121,59,55,35,35,55,25,29,22,26,10,13,11,11
" ","V630000 630000 Information service activities",15,12,9,12,14,28,17,13,16,12,10,2,5,4,4
" ","VK K Financial and insurance",261,312,256,185,160,218,256,186,208,157,153,104,232,160,158
" ","V64000 64000 Financial service activities, except insurance and pension funding",159,185,151,116,101,131,170,113,119,98,98,67,148,104,101
" ","V640010 640010 Monetary intermediation",131,150,121,92,80,104,135,93,97,81,79,53,118,84,81
" ","V640020 640020 Mortgage credit institutes, etc.",28,34,29,24,21,27,35,20,21,18,19,14,30,20,21
" ","V65000 65000 Insurance and pension funding",56,66,54,46,42,55,72,46,47,38,42,28,67,43,43
" ","V650000 650000 Insurance and pension funding",56,66,54,46,42,55,72,46,47,38,42,28,67,43,43
" ","V66000 66000 Other financial activities",46,62,51,24,18,32,15,28,42,20,13,9,17,14,14
" ","V660000 660000 Other financial activities",46,62,51,24,18,32,15,28,42,20,13,9,17,14,14
" ","VLA LA Real estate activities and renting of non-residential buildings",1946,2690,2957,2539,2386,2408,2430,1691,1554,1938,1440,2028,2239,2516,1609
" ","V68100 68100 Buying and selling of real estate",281,206,174,199,237,242,338,201,225,212,252,147,247,264,262
" ","V680010 680010 Buying and selling of real estate",281,206,174,199,237,242,338,201,225,212,252,147,247,264,262
" ","V68300 68300 Renting of non-residential buildings",1664,2484,2782,2340,2148,2167,2092,1490,1328,1725,1188,1882,1992,2252,1347
" ","V680030 680030 Renting of non-residential buildings",1664,2484,2782,2340,2148,2167,2092,1490,1328,1725,1188,1882,1992,2252,1347
" ","VLB LB Dwellings",45,53,46,38,35,46,63,39,41,33,34,25,59,37,39
" ","V68203 68203 Renting of residential buildings",45,53,46,38,35,46,63,39,41,33,34,25,59,37,39
" ","V680023 680023 Renting of residential buildings",45,53,46,38,35,46,63,39,41,33,34,25,59,37,39
" ","V68204 68204 Owner-occupied dwellings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680024 680024 Owner-occupied dwellings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VM_N M_N Other business services",1132,1302,1820,1758,1905,2543,2920,2457,2595,2786,1977,1974,1913,1974,1930
" ","VM M Knowledge-based services",712,827,1249,1027,1204,1750,2161,1828,1750,1887,1410,1557,1390,1476,1434
" ","VMA MA Consultancy etc.",305,451,709,702,663,793,1359,993,1147,1264,942,1017,921,1032,1046
" ","V69700 69700 Legal and accounting activities; activities of head offices; management consultanc",131,139,140,221,218,201,443,248,246,263,214,188,195,195,196
" ","V690010 690010 Legal activities",7,2,3,5,5,6,5,6,11,8,11,4,4,7,7
" ","V690020 690020 Accounting and bookkeeping activities",47,36,39,24,28,49,55,31,40,22,16,18,13,17,17
" ","V700000 700000 Business consultancy activities",77,101,98,192,186,145,384,211,195,234,187,166,178,171,172
" ","V71000 71000 Architectural and engineering activities",174,312,570,482,445,592,915,745,901,1001,728,829,726,838,851
" ","V710000 710000 Architectural and engineering activities",174,312,570,482,445,592,915,745,901,1001,728,829,726,838,851
" ","VMB MB Scientific research and development",334,313,382,254,479,876,732,742,510,529,393,489,404,383,328
" ","V72001 72001 Scientific research and development (market)",225,216,267,200,256,243,247,223,206,224,188,193,183,192,182
" ","V720001 720001 Scientific research and development (market)",225,216,267,200,256,243,247,223,206,224,188,193,183,192,182
" ","V72002 72002 Scientific research and development (non-market)",108,97,115,54,223,633,486,519,303,306,205,296,221,191,146
" ","V720002 720002 Scientific research and development (non-market)",108,97,115,54,223,633,486,519,303,306,205,296,221,191,146
" ","VMC MC Advertising and other business services",73,62,158,71,62,81,70,93,94,93,75,51,65,60,60
" ","V73000 73000 Advertising and market research",12,6,85,8,6,17,9,6,7,9,7,4,6,7,7
" ","V730000 730000 Advertising and market research",12,6,85,8,6,17,9,6,7,9,7,4,6,7,7
" ","V74750 74750 Other professional, scientific and technical activities; veterinary activities",62,57,74,63,55,64,62,87,86,84,68,47,59,53,53
" ","V740000 740000 Other technical business services",19,23,51,24,31,37,36,65,64,67,50,30,37,34,34
" ","V750000 750000 Veterinary activities",42,34,22,38,24,27,26,22,22,17,18,17,21,19,19
" ","VN N Travel agents, cleaning, and other operationel services",420,476,572,731,701,793,759,629,845,899,567,416,523,499,496
" ","V77000 77000 Rental and leasing activities",117,146,113,151,112,116,158,114,122,149,175,136,151,151,150
" ","V770000 770000 Rental and leasing activities",117,146,113,151,112,116,158,114,122,149,175,136,151,151,150
" ","V78000 78000 Employment activities",2,1,4,4,4,4,11,13,3,2,2,6,2,1,1
" ","V780000 780000 Employment activities",2,1,4,4,4,4,11,13,3,2,2,6,2,1,1
" ","V79000 79000 Travel agent activities",1,15,21,3,10,14,15,5,3,2,1,1,1,10,10
" ","V790000 790000 Travel agent activities",1,15,21,3,10,14,15,5,3,2,1,1,1,10,10
" ","V80820 80820 Security and investigation; services to buildings and landscape; other businness s",301,314,434,573,576,659,576,496,718,745,388,273,369,336,335
" ","V800000 800000 Security and investigation activities",3,4,3,2,6,2,2,2,2,2,2,3,2,2,2
" ","V810000 810000 Services to buildings, cleaning and landscape activities",90,86,77,87,90,158,189,91,120,136,109,122,181,122,122
" ","V820000 820000 Other business service activities",208,224,353,484,480,499,385,403,595,607,277,149,186,212,211
" ","VO_Q O_Q Public administration, education and health",17909,16936,17036,16790,17661,18191,19511,16367,16123,15681,16183,16941,17682,18507,16832
" ","VO O Public administration, defence and compulsory social security",1114,1210,823,1018,846,441,701,441,343,209,394,608,837,568,536
" ","V84202 84202 Public administration etc.",939,1072,686,875,671,331,483,260,228,189,373,547,822,555,523
" ","V840010 840010 Public administration",289,325,274,218,197,255,348,217,228,189,199,155,365,232,242
" ","V840022 840022 Defence, public order, security and justice activities (non-market)",650,747,412,657,474,76,136,43,0,0,174,392,456,323,281
" ","V84101 84101 Rescue service etc. (market)",175,138,138,143,175,110,218,182,115,20,21,61,16,13,13
" ","V840021 840021 Rescue service etc. (market)",175,138,138,143,175,110,218,182,115,20,21,61,16,13,13
" ","VP P Education",6165,6011,6094,6093,6486,6938,7352,6040,5976,5692,5689,5757,5909,6146,6114
" ","V85202 85202 Education (non-market)",5977,5706,5849,5871,6251,6676,7115,5882,5806,5556,5577,5678,5820,6051,6018
" ","V850010 850010 Primary education",3204,2936,3053,2964,3135,3343,3590,3017,2964,2853,2887,2749,2820,2938,2904
" ","V850020 850020 Secondary education",1192,1132,1210,1167,1236,1270,1331,1093,1079,1043,1096,1053,1048,1085,1062
" ","V850030 850030 Higher education",1399,1305,1343,1543,1676,1812,1932,1616,1615,1551,1512,1826,1896,1970,1996
" ","V850042 850042 Education (non-market)",182,333,243,197,205,250,263,156,148,109,81,50,56,57,56
" ","V85101 85101 Education (market)",188,305,245,222,235,263,237,158,170,136,112,78,89,95,95
" ","V850041 850041 Education (market)",188,305,245,222,235,263,237,158,170,136,112,78,89,95,95
" ","VQ Q Human health and social work",10629,9715,10119,9680,10330,10812,11458,9885,9804,9781,10100,10577,10936,11793,10182
" ","VQA QA Human health activities",3341,3024,3141,2872,3135,3159,3228,2945,2930,3094,3244,3986,4190,4722,3152
" ","V86000 86000 Human health activities",3341,3024,3141,2872,3135,3159,3228,2945,2930,3094,3244,3986,4190,4722,3152
" ","V860010 860010 Hospital activities",3236,2942,3038,2806,3000,2987,3145,2876,2867,2812,3076,3946,4134,4611,3043
" ","V860020 860020 Medical and dental practice activities",105,82,103,65,135,172,83,69,63,282,168,39,56,110,110
" ","VQB QB Residential care",7288,6690,6978,6808,7195,7653,8231,6940,6873,6687,6856,6591,6745,7071,7030
" ","V87880 87880 Residential care",7288,6690,6978,6808,7195,7653,8231,6940,6873,6687,6856,6591,6745,7071,7030
" ","V870000 870000 Residential care activities",4290,3938,4108,4008,4235,4505,4845,4085,4046,3936,4036,3880,3971,4162,4138
" ","V880000 880000 Social work activities without accommodation",2998,2752,2871,2801,2960,3148,3386,2855,2827,2751,2821,2711,2775,2909,2892
" ","VR_S R_S Arts, entertainment and other services",4817,5026,4787,4352,4347,4820,5188,4919,5009,4988,5126,4728,4968,5458,5792
" ","VR R Arts, entertainment and recreation activities",3430,3623,3363,3058,3014,3455,3782,3661,3852,3519,3532,3582,3751,3903,3908
" ","V90920 90920 Arts and entertainment; libraries, museums and other cultural activities; gambling",1479,1414,1147,918,785,896,1085,1401,1061,943,899,678,746,986,978
" ","V900000 900000 Theatres, concerts, and arts activities",919,846,497,230,93,134,203,448,284,261,213,168,104,274,273
" ","V910001 910001 Libraries, museums and other cultural activities (market)",107,108,123,121,127,141,164,183,155,149,104,81,108,124,125
" ","V910002 910002 Libraries, museums and other cultural activities (non-market)",449,455,523,563,562,617,711,767,618,530,578,427,528,584,577
" ","V920000 920000 Gambling and betting activities",4,5,4,3,3,4,6,4,4,3,3,2,6,3,4
" ","V93000 93000 Sports activities and amusement and recreation activities",1951,2209,2217,2140,2229,2559,2697,2260,2791,2576,2632,2903,3005,2916,2930
" ","V930011 930011 Sports activities (market)",452,810,927,942,895,899,1025,805,1143,1080,1177,1484,1524,1262,1225
" ","V930012 930012 Sports activities (non-market)",191,181,176,201,197,208,204,167,170,183,139,109,130,168,170
" ","V930020 930020 Amusement and recreation activities",1308,1217,1113,998,1136,1452,1469,1287,1478,1313,1316,1310,1351,1486,1536
" ","VSA SA Other service activities",1387,1403,1423,1294,1333,1365,1406,1258,1157,1469,1595,1147,1217,1556,1884
" ","V94000 94000 Activities of membership organisations",84,78,97,74,74,89,62,66,77,424,522,314,283,467,809
" ","V940000 940000 Activities of membership organisations",84,78,97,74,74,89,62,66,77,424,522,314,283,467,809
" ","V95000 95000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V950000 950000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V96000 96000 Other personal service activities",1290,1311,1315,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","V960000 960000 Other personal service activities",1290,1311,1315,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","VSB SB Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"Data for the latest two years are preliminary. "

